Year,Org Name,Org Code,Spec Ed. Grad Rate - Grad Cohort #,Spec Ed. Grad Rate - Grad #,Spec Ed. Grad Rate - Grad %,Spec Ed. Dropout - Enr #,Spec Ed. Dropout - Drop #,Spec Ed. Dropout - Drop %,LRE Ages 6-21 - Students #,LRE Ages 6-21 - Full Incl #,LRE Ages 6-21 - Full Incl %,LRE Ages 3-5 - Students #,LRE Ages 3-5 - Full Incl #,LRE Ages 3-5 - Full Incl %,Cohort Completion Year,Substantial growth of knowledge & skills,Survey Period,Surv Meet Std #,Surv Meet Std %,Sch Yr Rev,# of Students Engaged,Dist Rate
2012,Roxbury Preparatory Charter (District),4840000,NA,NA,NA,NA,NA,NA,36,36,100%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Roxbury Preparatory Charter,4840000,NA,NA,NA,0,-,-,82,82,100%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2012,Salem Academy Charter (District),4850000,6,6,100%,23,1,4.30%,51,51,100%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Salem Academy Charter,4850000,4,-,-,22,2,9.10%,48,48,100%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,3,100%
2012,Seven Hills Charter Public (District),4860000,NA,NA,NA,NA,NA,NA,54,36,66.70%,4,-,-,2011-12,NA,Spring 2012,-,-,2009-10,NA,NA
2013,Seven Hills Charter Public,4860000,NA,NA,NA,0,-,-,58,48,82.80%,8,0,0%,2011-12,NA,Spring 2012,-,-,2009-10,NA,NA
2012,Prospect Hill Academy Charter (District),4870000,4,-,-,34,0,0%,141,129,91.50%,3,-,-,2011-12,-,Spring 2012,-,-,2009-10,2,100%
2013,Prospect Hill Academy Charter,4870000,8,6,75%,39,0,0%,148,132,89.20%,5,-,-,2011-12,-,Spring 2012,-,-,2009-10,2,100%
2012,South Shore Charter Public (District),4880000,4,-,-,28,0,0%,65,58,89.20%,1,-,-,2011-12,NA,Spring 2012,14,100%,2009-10,3,100%
2013,South Shore Charter Public,4880000,8,8,100%,32,0,0%,70,63,90%,2,-,-,2011-12,NA,Spring 2012,14,100%,2009-10,3,100%
2012,Sturgis Charter Public (District),4890000,11,8,72.70%,55,2,3.60%,55,55,100%,0,-,-,NA,NA,Spring 2013,NA,NA,2010-11,14,100%
2013,Sturgis Charter Public,4890000,11,10,90.90%,77,0,0%,77,77,100%,0,-,-,NA,NA,Spring 2013,32,88.90%,2010-11,14,100%
2012,Atlantis Charter (District),4910000,NA,NA,NA,NA,NA,NA,88,72,81.80%,1,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Atlantis Charter,4910000,NA,NA,NA,0,-,-,84,77,91.70%,3,-,-,2014-15,-,Spring 2011,-,-,2012-13,NR,NR
2012,Martin Luther King Jr. Charter School of Excellence (,4920000,NA,NA,NA,NA,NA,NA,37,34,91.90%,2,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Martin Luther King Jr. Charter School of Excellence,4920000,NA,NA,NA,0,-,-,42,39,92.90%,2,-,-,2014-15,-,Spring 2011,-,-,2012-13,NR,NR
2012,Phoenix Charter Academy (District),4930000,10,3,30%,30,7,23.30%,30,25,83.30%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,3,100%
2013,Phoenix Charter Academy,4930000,11,2,18.20%,29,5,17.20%,29,16,55.20%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,3,100%
2012,Pioneer Charter School of Science (District),4940000,2,-,-,NA,NA,NA,24,21,87.50%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,NA,NA
2013,Pioneer Charter School of Science,4940000,7,7,100%,21,0,0%,31,28,90.30%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,NA,NA
2012,Global Learning Charter Public (District),4960000,4,-,-,12,0,0%,60,59,98.30%,0,-,-,NA,NA,Spring 2012,14,88%,2011-12,1,25%
2013,Global Learning Charter Public,4960000,3,-,-,16,0,0%,76,76,100%,0,-,-,NA,NA,Spring 2012,14,88%,2011-12,1,25%
2012,Pioneer Valley Chinese Immersion Charter(District),4970000,NA,NA,NA,NA,NA,NA,10,9,90%,1,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Pioneer Valley Chinese Immersion Charter,4970000,NA,NA,NA,0,-,-,18,17,94.40%,1,-,-,2014-15,-,Spring 2011,-,-,2012-13,NR,NR
2013,Veritas Preparatory Charter School,4980000,NA,NA,NA,0,-,-,11,6,54.50%,0,-,-,NA,NA,Spring 2013,NA,NA,2011-12,NA,NA
2012,Hampden Charter School of Science (District),4990000,1,-,-,NA,NA,NA,34,28,82.40%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,NA,NA
2013,Hampden Charter School of Science,4990000,3,-,-,21,2,9.50%,35,30,85.70%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,NA,NA
2012,Acton-Boxborough,6000000,87,67,77%,253,1,0.40%,442,314,71%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Acton-Boxborough,6000000,72,59,81.90%,265,2,0.80%,481,346,71.90%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,25,96.20%
2012,Adams-Cheshire,6030000,13,8,61.50%,56,2,3.60%,225,117,52%,34,0,0%,2013-14,-,Spring 2012,33,83%,2011-12,7,100%
2013,Adams-Cheshire,6030000,21,15,71.40%,64,1,1.60%,231,125,54.10%,36,25,69.40%,2013-14,61.5,Spring 2012,33,83%,2011-12,7,100%
2012,Amherst-Pelham,6050000,74,52,70.30%,203,9,4.40%,319,158,49.50%,0,-,-,NA,NA,Spring 2012,50,77%,2011-12,23,88.50%
2013,Athol-Royalston,6150000,35,18,51.40%,91,7,7.70%,353,209,59.20%,31,5,16.10%,2014-15,-,Spring 2011,12,100%,2012-13,16,94.10%
2012,Ayer Shirley School District,6160000,10,7,70%,35,0,0%,290,185,63.80%,37,0,0%,2012-13,-,Spring 2012,NA,NA,2010-11,NA,NA
2013,Ayer Shirley School District,6160000,15,6,40%,47,4,8.50%,336,208,61.90%,26,16,61.50%,2012-13,-,Spring 2013,13,86.60%,2010-11,NA,NA
2012,Berkshire Hills,6180000,21,16,76.20%,60,0,0%,165,124,75.20%,15,0,0%,2011-12,-,Spring 2012,-,-,2009-10,4,100%
2013,Berkshire Hills,6180000,23,16,69.60%,69,1,1.40%,174,152,87.40%,10,1,10%,2011-12,-,Spring 2012,-,-,2009-10,4,100%
2012,Berlin-Boylston,6200000,6,4,66.70%,NA,NA,NA,72,39,54.20%,0,-,-,NA,NA,Spring 2013,NA,NA,2010-11,3,100%
2013,Berlin-Boylston,6200000,15,8,53.30%,38,0,0%,76,45,59.20%,0,-,-,NA,NA,Spring 2013,-,-,2010-11,3,100%
2012,Blackstone-Millville,6220000,27,13,48.10%,70,1,1.40%,295,133,45.10%,36,21,58.30%,2010-11,52.9,Spring 2011,12,60%,2012-13,NR,NR
2013,Blackstone-Millville,6220000,17,9,52.90%,47,0,0%,261,122,46.70%,28,20,71.40%,2014-15,-,Spring 2011,12,60%,2012-13,5,83.30%
2012,Bridgewater-Raynham,6250000,77,67,87%,173,0,0%,771,572,74.20%,103,2,1.90%,2011-12,-,Spring 2012,45,75%,2009-10,10,83.30%
2013,Bridgewater-Raynham,6250000,57,44,77.20%,157,3,1.90%,717,509,71%,110,50,45.50%,2011-12,-,Spring 2012,45,75%,2009-10,10,83.30%
2012,Chesterfield-Goshen,6320000,NA,NA,NA,NA,NA,NA,14,14,100%,4,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Chesterfield-Goshen,6320000,NA,NA,NA,0,-,-,17,16,94.10%,3,-,-,2014-15,-,Spring 2011,-,-,2012-13,NR,NR
2012,Central Berkshire,6350000,37,28,75.70%,60,2,3.30%,247,200,81%,26,3,11.50%,2012-13,-,Spring 2013,NA,NA,2010-11,17,94.40%
2013,Central Berkshire,6350000,11,7,63.60%,42,2,4.80%,227,178,78.40%,35,20,57.10%,2012-13,-,Spring 2013,43,79.60%,2010-11,17,94.40%
2012,Concord-Carlisle,6400000,69,56,81.20%,178,7,3.90%,217,94,43.30%,0,-,-,NA,NA,Spring 2012,30,97%,2011-12,8,100%
2013,Concord-Carlisle,6400000,60,52,86.70%,175,0,0%,215,105,48.80%,0,-,-,NA,NA,Spring 2012,30,97%,2011-12,8,100%
2012,Dennis-Yarmouth,6450000,39,23,59%,99,3,3%,460,288,62.60%,55,4,7.30%,2013-14,50,Spring 2012,-,-,2011-12,29,100%
2013,Dennis-Yarmouth,6450000,26,17,65.40%,105,10,9.50%,483,320,66.30%,50,19,38%,2013-14,65,Spring 2012,-,-,2011-12,29,100%
2012,Dighton-Rehoboth,6500000,42,37,88.10%,114,3,2.60%,409,340,83.10%,48,12,25%,2011-12,-,Spring 2012,-,-,2009-10,34,82.90%
2013,Dighton-Rehoboth,6500000,34,27,79.40%,113,2,1.80%,393,331,84.20%,45,31,68.90%,2011-12,-,Spring 2012,-,-,2009-10,34,82.90%
2012,Dover-Sherborn,6550000,27,23,85.20%,71,2,2.80%,164,123,75%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Dover-Sherborn,6550000,26,22,84.60%,75,0,0%,175,144,82.30%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,10,100%
2012,Dudley-Charlton Reg,6580000,47,36,76.60%,93,5,5.40%,460,259,56.30%,70,32,45.70%,2013-14,-,Spring 2012,30,83%,2011-12,3,15.80%
2013,Dudley-Charlton Reg,6580000,18,14,77.80%,81,3,3.70%,439,253,57.60%,61,25,41%,2013-14,-,Spring 2012,30,83%,2011-12,3,15.80%
2012,Nauset,6600000,45,38,84.40%,111,2,1.80%,228,97,42.50%,0,-,-,2010-11,83.3,Spring 2012,22,85%,2011-12,8,100%
2013,Nauset,6600000,41,34,82.90%,125,2,1.60%,258,135,52.30%,0,-,-,2010-11,83.3,Spring 2012,22,85%,2011-12,8,100%
2012,Farmington River Reg,6620000,NA,NA,NA,NA,NA,NA,16,8,50%,4,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Farmington River Reg,6620000,NA,NA,NA,0,-,-,21,12,57.10%,6,0,0%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Freetown-Lakeville,6650000,45,36,80%,116,3,2.60%,467,265,56.70%,41,1,2.40%,2012-13,100,Spring 2013,NA,NA,2011-12,19,82.60%
2013,Freetown-Lakeville,6650000,30,27,90%,118,2,1.70%,438,278,63.50%,42,18,42.90%,2012-13,100,Spring 2013,51,89.50%,2011-12,19,82.60%
2012,Frontier,6700000,41,28,68.30%,74,3,4.10%,133,34,25.60%,0,-,-,2011-12,NA,Spring 2012,-,-,2011-12,11,100%
2013,Frontier,6700000,23,17,73.90%,66,3,4.50%,117,38,32.50%,0,-,-,2011-12,NA,Spring 2012,-,-,2011-12,11,100%
2012,Gateway,6720000,18,8,44.40%,31,6,19.40%,128,97,75.80%,21,0,0%,2011-12,-,Spring 2012,14,93%,2009-10,0,0%
2013,Gateway,6720000,17,6,35.30%,27,0,0%,116,80,69%,21,13,61.90%,2011-12,-,Spring 2012,14,93%,2009-10,0,0%
2012,Groton-Dunstable,6730000,22,16,72.70%,65,1,1.50%,330,246,74.50%,51,43,84.30%,2011-12,-,Spring 2012,25,78%,2009-10,14,100%
2013,Groton-Dunstable,6730000,33,25,75.80%,73,1,1.40%,335,247,73.70%,44,35,79.50%,2011-12,-,Spring 2012,25,78%,2009-10,14,100%
2012,Gill-Montague,6740000,26,9,34.60%,60,3,5%,206,95,46.10%,10,1,10%,2011-12,-,Spring 2012,-,-,2009-10,0,0%
2013,Gill-Montague,6740000,25,15,60%,56,2,3.60%,185,87,47%,14,1,7.10%,2011-12,-,Spring 2012,-,-,2009-10,0,0%
2012,Hamilton-Wenham,6750000,38,34,89.50%,77,1,1.30%,276,179,64.90%,16,14,87.50%,2013-14,-,Spring 2012,54,81%,2011-12,10,100%
2013,Hamilton-Wenham,6750000,26,23,88.50%,62,1,1.60%,243,168,69.10%,18,14,77.80%,2013-14,-,Spring 2012,54,81%,2011-12,10,100%
2012,Hampden-Wilbraham,6800000,75,63,84%,184,2,1.10%,579,286,49.40%,28,2,7.10%,2013-14,-,Spring 2012,68,76%,2011-12,23,95.80%
2013,Hampden-Wilbraham,6800000,86,72,83.70%,156,1,0.60%,507,238,46.90%,30,29,96.70%,2013-14,-,Spring 2012,68,76%,2011-12,23,95.80%
2012,Hampshire,6830000,26,22,84.60%,72,4,5.60%,141,42,29.80%,0,-,-,NA,NA,Spring 2011,13,86.70%,2012-13,NR,NR
2013,Hampshire,6830000,20,18,90%,79,2,2.50%,145,46,31.70%,0,-,-,NA,NA,Spring 2011,13,86.60%,2012-13,16,100%
2012,Hawlemont,6850000,NA,NA,NA,NA,NA,NA,21,12,57.10%,4,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Hawlemont,6850000,NA,NA,NA,0,-,-,22,12,54.50%,4,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,King Philip,6900000,60,44,73.30%,130,0,0%,274,130,47.40%,0,-,-,2010-11,92.3,Spring 2012,16,76%,2011-12,19,100%
2013,King Philip,6900000,43,35,81.40%,129,0,0%,291,145,49.80%,0,-,-,2010-11,92.3,Spring 2012,16,76%,2011-12,19,100%
2012,Lincoln-Sudbury,6950000,75,66,88%,261,2,0.80%,311,0,0%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Lincoln-Sudbury,6950000,86,77,89.50%,264,2,0.80%,318,182,57.20%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,27,100%
2012,Manchester Essex Regional,6980000,21,17,81%,73,1,1.40%,220,168,76.40%,17,0,0%,NA,NA,Spring 2011,26,74.30%,2012-13,NR,NR
2013,Manchester Essex Regional,6980000,23,14,60.90%,67,0,0%,219,172,78.50%,15,5,33.30%,2014-15,-,Spring 2011,26,74.20%,2012-13,8,88.90%
2012,Marthas Vineyard,7000000,56,52,92.90%,162,3,1.90%,171,130,76%,0,-,-,NA,NA,Spring 2013,NA,NA,2010-11,38,97.40%
2013,Marthas Vineyard,7000000,53,44,83%,169,1,0.60%,177,131,74%,0,-,-,NA,NA,Spring 2013,12,100%,2010-11,38,97.40%
2012,Masconomet,7050000,71,64,90.10%,146,0,0%,293,165,56.30%,0,-,-,2010-11,60.9,Spring 2013,NA,NA,2010-11,15,100%
2013,Masconomet,7050000,42,36,85.70%,164,2,1.20%,319,197,61.80%,0,-,-,2010-11,60.9,Spring 2013,27,73%,2010-11,15,100%
2012,Mendon-Upton,7100000,19,15,78.90%,72,1,1.40%,309,158,51.10%,36,2,5.60%,2011-12,-,Spring 2012,-,-,2009-10,11,100%
2013,Mendon-Upton,7100000,27,23,85.20%,87,0,0%,331,163,49.20%,28,5,17.90%,2011-12,-,Spring 2012,-,-,2009-10,11,100%
2013,Monomoy Regional School District,7120000,20,14,70%,74,3,4.10%,275,189,68.70%,33,25,75.80%,2014-15,-,Spring 2013,NA,NA,2011-12,NA,NA
2012,Mount Greylock,7150000,17,15,88.20%,44,5,11.40%,76,43,56.60%,0,-,-,NA,NA,Spring 2013,NA,NA,2010-11,11,100%
2013,Mount Greylock,7150000,17,9,52.90%,35,2,5.70%,68,38,55.90%,0,-,-,NA,NA,Spring 2013,-,-,2010-11,11,100%
2012,Mohawk Trail,7170000,20,8,40%,60,3,5%,203,87,42.90%,20,0,0%,2011-12,-,Spring 2012,10,83%,2009-10,11,100%
2013,Mohawk Trail,7170000,22,12,54.50%,64,5,7.80%,186,79,42.50%,18,1,5.60%,2011-12,-,Spring 2012,10,83%,2009-10,11,100%
2012,Narragansett,7200000,17,12,70.60%,48,0,0%,223,182,81.60%,11,1,9.10%,2013-14,-,Spring 2012,-,-,2011-12,1,100%
2013,Narragansett,7200000,18,14,77.80%,41,2,4.90%,157,118,75.20%,16,7,43.80%,2013-14,-,Spring 2012,-,-,2011-12,1,100%
2012,Nashoba,7250000,26,22,84.60%,85,2,2.40%,362,245,67.70%,37,18,48.60%,2011-12,-,Spring 2012,112,93%,2009-10,15,88.20%
2013,Nashoba,7250000,23,17,73.90%,93,1,1.10%,375,254,67.70%,42,22,52.40%,2011-12,-,Spring 2012,112,93%,2009-10,15,88.20%
2012,New Salem-Wendell,7280000,NA,NA,NA,NA,NA,NA,18,17,94.40%,4,-,-,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2013,New Salem-Wendell,7280000,NA,NA,NA,0,-,-,17,14,82.40%,4,-,-,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2012,Northboro-Southboro,7300000,41,31,75.60%,137,3,2.20%,149,107,71.80%,0,-,-,NA,NA,Spring 2012,49,82%,2011-12,12,100%
2013,Northboro-Southboro,7300000,55,49,89.10%,146,1,0.70%,159,119,74.80%,0,-,-,NA,NA,Spring 2012,49,82%,2011-12,12,100%
2012,North Middlesex,7350000,46,33,71.70%,127,6,4.70%,604,373,61.80%,74,0,0%,NA,NA,Spring 2011,39,79.60%,2012-13,NR,NR
2013,North Middlesex,7350000,50,38,76%,125,3,2.40%,593,371,62.60%,53,12,22.60%,2014-15,-,Spring 2011,39,79.60%,2012-13,17,89.50%
2012,Old Rochester,7400000,37,33,89.20%,66,0,0%,138,126,91.30%,0,-,-,2011-12,-,Spring 2012,-,-,2009-10,6,85.70%
2013,Old Rochester,7400000,17,13,76.50%,79,3,3.80%,144,123,85.40%,0,-,-,2011-12,-,Spring 2012,-,-,2009-10,6,85.70%
2012,Pentucket,7450000,47,35,74.50%,125,7,5.60%,496,367,74%,56,3,5.40%,2012-13,-,Spring 2013,NA,NA,2010-11,5,100%
2013,Pentucket,7450000,36,28,77.80%,98,2,2%,444,303,68.20%,47,22,46.80%,2012-13,-,Spring 2013,71,70.20%,2010-11,5,100%
2012,Pioneer Valley,7500000,13,10,76.90%,37,1,2.70%,152,129,84.90%,19,1,5.30%,2013-14,-,Spring 2012,-,-,2011-12,16,100%
2013,Pioneer Valley,7500000,13,11,84.60%,37,0,0%,141,110,78%,15,1,6.70%,2013-14,-,Spring 2012,-,-,2011-12,16,100%
2012,Quabbin,7530000,27,21,77.80%,80,2,2.50%,370,243,65.70%,49,16,32.70%,2012-13,100,Spring 2013,NA,NA,2010-11,11,100%
2013,Quabbin,7530000,23,17,73.90%,89,2,2.20%,410,273,66.60%,39,25,64.10%,2012-13,100,Spring 2013,26,78.80%,2010-11,11,100%
2012,Ralph C Mahar,7550000,34,22,64.70%,73,7,9.60%,139,89,64%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,14,93.30%
2013,Ralph C Mahar,7550000,23,11,47.80%,63,2,3.20%,122,70,57.40%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,14,93.30%
2012,Silver Lake,7600000,42,39,92.90%,164,1,0.60%,262,154,58.80%,36,1,2.80%,2013-14,-,Spring 2012,32,89%,2011-12,5,83.30%
2013,Silver Lake,7600000,43,38,88.40%,155,0,0%,252,153,60.70%,39,19,48.70%,2013-14,66.7,Spring 2012,32,89%,2011-12,5,83.30%
2012,Somerset Berkley Regional School District,7630000,16,13,81.30%,76,1,1.30%,102,70,68.60%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,5,45.50%
2013,Somerset Berkley Regional School District,7630000,19,13,68.40%,85,9,10.60%,108,72,66.70%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,5,45.50%
2012,Southern Berkshire,7650000,21,18,85.70%,66,1,1.50%,143,102,71.30%,6,0,0%,2013-14,-,Spring 2012,-,-,2011-12,5,100%
2013,Southern Berkshire,7650000,14,11,78.60%,48,2,4.20%,137,106,77.40%,11,3,27.30%,2013-14,-,Spring 2012,-,-,2011-12,5,100%
2012,Southwick-Tolland,7660000,29,23,79.30%,69,1,1.40%,261,196,75.10%,18,16,88.90%,2012-13,-,Spring 2013,NA,NA,2010-11,4,40%
2013,Southwick-Tolland,7660000,26,19,73.10%,65,2,3.10%,253,186,73.50%,29,15,51.70%,2012-13,-,Spring 2013,17,70.70%,2010-11,4,40%
2012,Spencer-E Brookfield,7670000,28,15,53.60%,64,1,1.60%,365,270,74%,52,3,5.80%,2010-11,92,Spring 2011,17,65.40%,2012-13,NR,NR
2013,Spencer-E Brookfield,7670000,12,10,83.30%,61,3,4.90%,343,244,71.10%,61,34,55.70%,2014-15,-,Spring 2011,17,65.40%,2012-13,4,100%
2012,Tantasqua,7700000,52,40,76.90%,129,4,3.10%,232,115,49.60%,0,-,-,2011-12,NA,Spring 2012,26,84%,2009-10,3,37.50%
2013,Tantasqua,7700000,47,40,85.10%,132,2,1.50%,242,134,55.40%,0,-,-,2011-12,NA,Spring 2012,26,84%,2009-10,3,37.50%
2012,Triton,7730000,24,21,87.50%,112,4,3.60%,400,311,77.80%,47,3,6.40%,2013-14,-,Spring 2012,-,-,2011-12,3,100%
2013,Triton,7730000,37,25,67.60%,118,0,0%,416,327,78.60%,49,5,10.20%,2013-14,-,Spring 2012,-,-,2011-12,3,100%
2012,Up-Island Regional,7740000,NA,NA,NA,NA,NA,NA,60,47,78.30%,3,-,-,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Up-Island Regional,7740000,NA,NA,NA,0,-,-,57,47,82.50%,4,-,-,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Wachusett,7750000,85,63,74.10%,233,2,0.90%,969,670,69.10%,106,1,0.90%,2011-12,-,Spring 2012,119,86%,2009-10,20,95.20%
2013,Wachusett,7750000,77,54,70.10%,244,8,3.30%,964,665,69%,103,28,27.20%,2011-12,-,Spring 2012,119,86%,2009-10,20,95.20%
2012,Quaboag Regional,7780000,21,7,33.30%,49,8,16.30%,247,183,74.10%,27,17,63%,2010-11,57.9,Spring 2011,6,50%,2012-13,NR,NR
2013,Quaboag Regional,7780000,19,12,63.20%,51,0,0%,208,139,66.80%,22,13,59.10%,2014-15,-,Spring 2011,6,50%,2012-13,14,100%
2012,Whitman-Hanson,7800000,63,50,79.40%,177,2,1.10%,573,409,71.40%,57,40,70.20%,2012-13,43.8,Spring 2013,NA,NA,2010-11,NA,NA
2013,Whitman-Hanson,7800000,60,51,85%,165,2,1.20%,584,413,70.70%,48,33,68.80%,2012-13,47.1,Spring 2013,88,78.60%,2010-11,NA,NA
2012,Assabet Valley Regional Vocational Technical,8010000,72,65,90.30%,283,4,1.40%,283,281,99.30%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,31,75.60%
2013,Assabet Valley Regional Vocational Technical,8010000,74,63,85.10%,305,8,2.60%,305,305,100%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,31,75.60%
2012,Blackstone Valley Regional Vocational Technical,8050000,29,27,93.10%,119,0,0%,119,70,58.80%,0,-,-,NA,NA,Spring 2013,NA,NA,2010-11,13,92.90%
2013,Blackstone Valley Regional Vocational Technical,8050000,40,36,90%,121,1,0.80%,121,72,59.50%,0,-,-,NA,NA,Spring 2013,-,-,2010-11,13,92.90%
2012,Blue Hills Regional Vocational Technical,8060000,47,46,97.90%,174,1,0.60%,174,151,86.80%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,23,100%
2013,Blue Hills Regional Vocational Technical,8060000,57,55,96.50%,193,1,0.50%,193,161,83.40%,0,-,-,NA,NA,Spring 2012,-,-,2011-12,23,100%
2012,Bristol-Plymouth Regional Vocational Technical,8100000,48,43,89.60%,175,0,0%,175,174,99.40%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Bristol-Plymouth Regional Vocational Technical,8100000,44,42,95.50%,184,0,0%,184,184,100%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,28,96.60%
2012,Cape Cod Regional Vocational Technical,8150000,57,44,77.20%,186,2,1.10%,187,136,72.70%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Cape Cod Regional Vocational Technical,8150000,54,53,98.10%,158,3,1.90%,159,105,66%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,29,100%
2012,Franklin County Regional Vocational Technical,8180000,41,34,82.90%,128,2,1.60%,128,0,0%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Franklin County Regional Vocational Technical,8180000,31,28,90.30%,148,0,0%,148,41,27.70%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,17,94.40%
2012,Greater Fall River Regional Vocational Technical,8210000,41,37,90.20%,143,0,0%,143,5,3.50%,0,-,-,2011-12,NA,Spring 2012,11,100%,2009-10,7,63.60%
2013,Greater Fall River Regional Vocational Technical,8210000,32,29,90.60%,141,1,0.70%,141,14,9.90%,0,-,-,2011-12,NA,Spring 2012,11,100%,2009-10,7,63.60%
2012,Greater Lawrence Regional Vocational Technical,8230000,66,59,89.40%,288,12,4.20%,288,208,72.20%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Greater Lawrence Regional Vocational Technical,8230000,73,59,80.80%,282,4,1.40%,282,216,76.60%,0,-,-,NA,NA,Spring 2011,-,-,2012-13,36,92.30%
2012,Greater New Bedford Regional Vocational Technical,8250000,40,32,80%,200,7,3.50%,200,171,85.50%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,18,100%
2013,Greater New Bedford Regional Vocational Technical,8250000,46,40,87%,201,0,0%,201,177,88.10%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,18,100%
2012,Greater Lowell Regional Vocational Technical,8280000,114,91,79.80%,470,6,1.30%,489,423,86.50%,0,-,-,NA,NA,Spring 2012,43,92%,2011-12,3,100%
2013,Greater Lowell Regional Vocational Technical,8280000,96,83,86.50%,455,5,1.10%,478,412,86.20%,0,-,-,NA,NA,Spring 2012,43,92%,2011-12,3,100%
2012,South Middlesex Regional Vocational Technical,8290000,68,59,86.80%,301,6,2%,301,222,73.80%,0,-,-,NA,NA,Spring 2013,NA,NA,2010-11,34,91.90%
2013,South Middlesex Regional Vocational Technical,8290000,66,61,92.40%,318,1,0.30%,318,226,71.10%,0,-,-,NA,NA,Spring 2013,12,100%,2010-11,34,91.90%
2012,Minuteman Regional Vocational Technical,8300000,78,68,87.20%,304,4,1.30%,304,303,99.70%,0,-,-,NA,NA,Spring 2012,30,73%,2011-12,12,100%
2013,Minuteman Regional Vocational Technical,8300000,62,52,83.90%,324,3,0.90%,324,321,99.10%,0,-,-,NA,NA,Spring 2012,30,73%,2011-12,12,100%
2012,Montachusett Regional Vocational Technical,8320000,50,46,92%,224,1,0.40%,224,224,100%,0,-,-,NA,NA,Spring 2011,18,90%,2012-13,NR,NR
2013,Montachusett Regional Vocational Technical,8320000,65,62,95.40%,219,0,0%,219,219,100%,0,-,-,NA,NA,Spring 2011,18,90%,2012-13,27,93.10%
2012,Northern Berkshire Regional Vocational Technical,8510000,21,21,100%,84,1,1.20%,84,32,38.10%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,11,68.80%
2013,Northern Berkshire Regional Vocational Technical,8510000,20,16,80%,72,1,1.40%,72,26,36.10%,0,-,-,2011-12,NA,Spring 2012,-,-,2009-10,11,68.80%
2012,Nashoba Valley Regional Vocational Technical,8520000,58,57,98.30%,247,1,0.40%,247,227,91.90%,0,-,-,NA,NA,Spring 2012,11,92%,2011-12,1,100%
2013,Nashoba Valley Regional Vocational Technical,8520000,54,53,98.10%,254,2,0.80%,254,236,92.90%,0,-,-,NA,NA,Spring 2012,11,92%,2011-12,1,100%
2012,Northeast Metropolitan Regional Vocational Technical,8530000,94,83,88.30%,326,5,1.50%,326,275,84.40%,0,-,-,NA,NA,Spring 2011,12,85.70%,2012-13,NR,NR
