Web link,URN,Provision type,Registration Status,Name,Address 1,Address 2,Town,County,Postcode,Government Office Region,Local authority,Sector,Places,Event type,Inspection date,Event number,Overall effectiveness,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
Ofsted Social Care Provider Webpage,SC043245,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Wiltshire,Private,4,Full inspection,11/08/2016,10013670,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC043255,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Lincolnshire,Local Authority,6,Full inspection,09/08/2016,10013671,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC043405,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Leicestershire,Local Authority,4,Full inspection,29/09/2016,10013672,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC043732,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Lincolnshire,Local Authority,7,Full inspection,20/09/2016,10013675,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC457175,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Halton,Private,1,Full inspection,07/07/2016,10014674,Good,,,Outstanding,Good
Ofsted Social Care Provider Webpage,SC457180,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Warrington,Private,3,Interim inspection,22/09/2016,10016777,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC457182,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Halton,Private,1,Full inspection,17/05/2016,10014678,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC457183,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Halton,Private,1,Full inspection,21/07/2016,10014679,Requires improvement,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC457266,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,3,Full inspection,30/09/2016,10014681,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC457272,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Cambridgeshire,Private,3,Full inspection,08/07/2016,10014682,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC457308,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,East Riding of Yorkshire,Private,5,Full inspection,28/07/2016,10014683,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC457318,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Torbay,Private,2,Full inspection,09/09/2016,10014684,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC457364,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Wirral,Private,2,Full inspection,27/07/2016,10014686,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC457423,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Central Bedfordshire,Voluntary,5,Interim inspection,15/09/2016,10016788,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC457428,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Sefton,Private,2,Full inspection,02/09/2016,10014689,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC457430,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Hartlepool,Private,3,Full inspection,04/05/2016,10014690,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC457433,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Halton,Private,1,Full inspection,22/06/2016,10014691,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC457434,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Middlesbrough,Private,1,Full inspection,03/06/2016,10014692,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC377702,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Lewisham,Private,6,Full inspection,16/06/2016,10014117,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC464650,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Sefton,Private,2,Full inspection,25/05/2016,10014781,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC464759,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Derbyshire,Private,4,Full inspection,07/09/2016,10021739,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC464759,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Derbyshire,Private,4,Full inspection,13/07/2016,10014782,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC465079,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Middlesbrough,Private,1,Full inspection,18/05/2016,10014787,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC465120,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,3,Monitoring inspection,09/09/2016,10022376,,,,,
Ofsted Social Care Provider Webpage,SC465120,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,3,Full inspection,19/07/2016,10014788,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC465257,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Northamptonshire,Health Authority,12,Full inspection,18/08/2016,10014789,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC465279,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Northamptonshire,Health Authority,6,Full inspection,01/09/2016,10014790,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC465475,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Newcastle upon Tyne,Private,6,Full inspection,24/08/2016,10014792,Outstanding,,,Good,Good
Ofsted Social Care Provider Webpage,SC465588,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Milton Keynes,Private,4,Interim inspection,21/04/2016,10016895,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC465925,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,East Sussex,Private,6,Interim inspection,12/09/2016,10016897,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC465940,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Somerset,Private,7,Full inspection,23/09/2016,10014797,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC466284,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottinghamshire,Voluntary,7,Full inspection,04/08/2016,10014798,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC462591,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Calderdale,Private,3,Full inspection,15/06/2016,10014759,Outstanding,,,Good,Good
Ofsted Social Care Provider Webpage,SC462593,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Calderdale,Private,4,Interim inspection,27/04/2016,10016862,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC462729,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Essex,Private,4,Full inspection,11/08/2016,10014762,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC462804,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Salford,Private,2,Monitoring inspection,09/06/2016,10019077,,,,,
Ofsted Social Care Provider Webpage,SC462804,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Salford,Private,2,Full inspection,05/05/2016,10014763,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC462809,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Essex,Private,3,Full inspection,13/09/2016,10014764,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC462951,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Essex,Private,3,Monitoring inspection,06/07/2016,10021181,,,,,
Ofsted Social Care Provider Webpage,SC462951,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Essex,Private,3,Full inspection,22/06/2016,10014765,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC463188,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Cheshire East,Private,4,Full inspection,23/09/2016,10014766,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC463386,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Derbyshire,Private,36,Full inspection,22/06/2016,10014767,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC463431,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,2,Full inspection,08/09/2016,10014768,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC463558,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Private,6,Interim inspection,30/06/2016,10016871,Declined in effectiveness,,,,
Ofsted Social Care Provider Webpage,SC463639,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,4,Full inspection,14/09/2016,10014770,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC463647,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,5,Full inspection,09/06/2016,10014771,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC387671,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Oldham,Local Authority,7,Interim inspection,01/09/2016,10016263,Declined in effectiveness,,,,
Ofsted Social Care Provider Webpage,SC387684,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Bexley,Private,6,Full inspection,22/06/2016,10014175,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC388991,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Sandwell,Private,2,Full inspection,11/08/2016,10014177,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC389174,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Southampton,Private,8,Interim inspection,14/09/2016,10016268,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC421531,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Central Bedfordshire,Private,3,Full inspection,13/07/2016,10014404,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC421995,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Darlington,Private,5,Full inspection,08/06/2016,10014405,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC422231,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Hertfordshire,Local Authority,3,Full inspection,12/05/2016,10014406,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC423407,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Durham,Private,8,Monitoring inspection,12/08/2016,10022169,,,,,
Ofsted Social Care Provider Webpage,SC423460,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Sefton,Private,3,Full inspection,17/08/2016,10014415,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC423617,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,3,Full inspection,23/08/2016,10020372,Requires improvement,,,Requires improvement,Inadequate
Ofsted Social Care Provider Webpage,SC423617,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,3,Monitoring inspection,27/06/2016,10020371,,,,,
Ofsted Social Care Provider Webpage,SC423617,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,3,Full inspection,26/04/2016,10014417,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC423753,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Sheffield,Voluntary,5,Full inspection,30/06/2016,10014419,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC423959,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Barking and Dagenham,Private,5,Full inspection,08/09/2016,10014420,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC381085,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Stoke-on-Trent,Local Authority,2,Full inspection,20/07/2016,10014133,Requires improvement,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC381089,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Stoke-on-Trent,Local Authority,2,Full inspection,04/08/2016,10014134,Requires improvement,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC381531,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Cheshire East,Private,5,Interim inspection,05/08/2016,10016227,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC381652,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,2,Full inspection,10/08/2016,10014138,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC381667,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Liverpool,Private,4,Full inspection,18/05/2016,10014139,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC382138,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Hertfordshire,Local Authority,5,Full inspection,26/05/2016,10014142,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC382159,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Greenwich,Private,5,Interim inspection,01/04/2016,2460646,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC382715,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Leicestershire,Private,4,Full inspection,21/07/2016,10014145,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC382730,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Local Authority,4,Full inspection,08/09/2016,10014146,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC382807,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,2,Full inspection,20/09/2016,10018178,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC407929,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Worcestershire,Private,8,Full inspection,07/09/2016,10014312,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC408072,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,North Tyneside,Local Authority,4,Interim inspection,14/06/2016,10016406,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC408149,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,2,Full inspection,01/09/2016,10022384,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC408149,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,2,Full inspection,25/07/2016,10014315,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,1205501,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottinghamshire,Private,6,Full inspection,09/09/2016,10018272,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,1211772,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,North Yorkshire,Private,6,Interim inspection,17/06/2016,10020639,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,1212094,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Salford,Private,4,Full inspection,03/08/2016,10018916,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,1212117,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottinghamshire,Private,3,Full inspection,11/05/2016,10015194,Good,,,Good,Good
Ofsted Social Care Provider Webpage,1212708,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottingham,Private,3,Full inspection,12/04/2016,10015195,Good,,,Good,Good
Ofsted Social Care Provider Webpage,1213416,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,2,Full inspection,28/07/2016,10015196,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,1213828,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,St Helens,Private,2,Full inspection,06/05/2016,10018227,Good,,,Good,Good
Ofsted Social Care Provider Webpage,1214266,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Leicestershire,Private,4,Full inspection,11/05/2016,10015197,Good,,,Good,Good
Ofsted Social Care Provider Webpage,1214270,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Cheshire East,Private,1,Full inspection,28/04/2016,10018255,Good,,,Good,Good
Ofsted Social Care Provider Webpage,1214396,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Herefordshire,Private,2,Full inspection,28/07/2016,10018276,Good,,,Good,Good
Ofsted Social Care Provider Webpage,1214688,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Southampton,Private,5,Full inspection,21/04/2016,10015198,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,1215521,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottingham,Private,3,Full inspection,25/05/2016,10015199,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,1216657,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottingham,Voluntary,2,Full inspection,04/05/2016,10018280,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,1220818,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,5,Full inspection,12/08/2016,10018278,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,1220818,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,5,Monitoring inspection,26/07/2016,10021956,,,,,
Ofsted Social Care Provider Webpage,1220818,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,5,Monitoring inspection,18/07/2016,10021955,,,,,
Ofsted Social Care Provider Webpage,SC391503,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Central Bedfordshire,Local Authority,4,Full inspection,16/08/2016,10014198,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC391594,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Sheffield,Private,3,Full inspection,18/08/2016,10014199,Outstanding,,,Good,Good
Ofsted Social Care Provider Webpage,SC391708,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Bournemouth,Private,2,Full inspection,27/07/2016,10014200,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC391739,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Worcestershire,Private,2,Full inspection,05/07/2016,10014201,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC391860,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,14,Full inspection,20/07/2016,10014202,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC391860,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,14,Monitoring inspection,09/06/2016,10020711,,,,,
Ofsted Social Care Provider Webpage,SC391993,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Darlington,Voluntary,6,Full inspection,06/07/2016,10014203,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC392408,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Bedford,Private,3,Full inspection,20/07/2016,10014204,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC392492,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,4,Full inspection,05/05/2016,10014205,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC414296,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottingham,Private,3,Full inspection,26/04/2016,10014364,Requires improvement,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC414516,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Derbyshire,Private,3,Full inspection,21/09/2016,10014366,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC414738,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Milton Keynes,Private,4,Full inspection,01/09/2016,10014367,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC415347,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,3,Full inspection,16/08/2016,10014369,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC415548,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Northumberland,Private,1,Full inspection,13/07/2016,10014371,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC043732,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Lincolnshire,Local Authority,7,Monitoring inspection,05/08/2016,10021475,,,,,
Ofsted Social Care Provider Webpage,SC043814,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Telford and Wrekin,Private,3,Full inspection,24/08/2016,10013676,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC043972,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Manchester,Private,5,Full inspection,29/06/2016,10013677,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC043994,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Buckinghamshire,Voluntary,40,Full inspection,11/05/2016,10013678,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC044259,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,West Sussex,Private,5,Full inspection,28/09/2016,10013682,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC392549,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Durham,Private,3,Full inspection,18/08/2016,10014206,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC392712,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottinghamshire,Private,3,Full inspection,07/07/2016,10014208,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC393228,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Gloucestershire,Private,5,Interim inspection,13/09/2016,10016300,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC393228,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Gloucestershire,Private,5,Full inspection,29/04/2016,10014210,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC393567,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Private,5,Full inspection,15/09/2016,10014211,Good,,,Good,Inadequate
Ofsted Social Care Provider Webpage,SC393940,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Essex,Private,5,Interim inspection,19/05/2016,10016302,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC394025,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Surrey,Voluntary,60,Full inspection,10/08/2016,10014213,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC394283,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Salford,Local Authority,5,Full inspection,21/06/2016,10014216,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC394875,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,2,Full inspection,27/07/2016,10014219,Good,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC044291,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottinghamshire,Local Authority,3,Full inspection,26/08/2016,10013684,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC044745,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,6,Full inspection,15/06/2016,10013688,Good,,,Good,Good
